复合计算系统 复合计算
查询搜索类型区分 类型区分
数据时所面 时所面
系统功能体系框架 体系框架
管理机器转移 机器转移
安全关键系统软件开发 安全关键系统
需求感知系统 需求感知
符号法试图 符号法
指纹模式分类 指纹模式
邮政实物流 实物流
用户特征提取模块 用户特征提取
链入链接 链入
多通道显示交互环境 显示交互
跨学科交叉融合 学科交叉融合
机器辅助翻译系统 机器辅助翻译
开源编译器 源编译器
应用图像复原技术 图像复原技术
慧眼识压 慧眼识
物理攻击信号影响传感器 影响传感器
中小学信息技术创新 信息技术创新
可信软件技术体系 软件技术体系
抽象参数关系 抽象参数
这时候万维网信息可信度 万维网信息可信度
传感器网络新技术 网络新技术
自然语言查询转化 自然语言查询
有效协调网络资源 有效协调
阿里巴巴集团控股有限公司 控股
安全业务提供内视 内视
下意识偏见 下意识
学者群体中英文发文 学者群体
软件规模化 软件规模
标准服务结构模板 服务结构
无线电厂试制成功 试制成功
委员会负责人公开竞选 委员会负责
领域框架平台 领域框架
交汇融合 交汇
半导体量子芯片制造 量子芯片
张量降维方法 张量降维
网络空间制网权 制网权
应用层组播结构 组播结构
城市状态感知 城市状态
传统社会网络结构挖掘 网络结构挖掘
参与感知应用 参与感知
神经消息通信算法 神经消息通信
计算相机位姿 相机位姿
跨云服务管理 跨云服务
数据挖掘工具分析 数据挖掘工具
深度语音情感特征 语音情感特征
安全控制器下发 安全控制器
低功耗测试生成 功耗测试
抽取平行句 平行句
网络结构分析改善多智能体系统 改善多智能体系统
运行时系统动态优化 系统动态优化
联盟链穿透式监管 穿透式监管
社会标注空间 标注空间
网络自配置能力 自配置能力
电子期刊网 电子期刊
应用统计知识 统计知识
云制造应用 云制造
处理大规模图数据 大规模图数据
智能网络应用协议 应用协议
云体系结构 云体系
边缘AI软硬件协同设计 边缘AI
认知知识图谱 认知知识
跨层优化设计消除存储 跨层优化设计
多尺度非线性时空信息处理 时空信息处理
充实计算机研究生 计算机研究生
拓宽合作领域 合作领域
科研信息化战略研究 科研信息化战略
物理设备服务 设备服务
量子网络研讨会 量子网络
路线模式挖掘 路线模式
建模对话情感识别 对话情感识别
多关键性应用 关键性应用
数据集成整合 集成整合
协同集成应用 协同集成
队列网络模型 队列网络
管理网络 管理网
场合信息有限 信息有限
网络搜索公司 搜索公司
社交图谱 社交图
移动众包框架 众包框架
领域语义特征 领域语义
人类文化演化 文化演化
称作多媒体万维网本体语言 万维网本体语言
水杉校场 校场
位置K匿名生成 位置K匿名
序列数据频繁项挖掘算法 频繁项挖掘
折线图 折线
维护软件体系结构 维护软件
验证自动机器学习算法 自动机器学习算法
多文件缓存策略 多文件
网络化存储技术 网络化存储
智能辅助环境情境本体建模 智能辅助环境
中国人工智能科研水平 中国人工智能
网络安全实践能力 安全实践能力
在线开放协作项目系统 在线开放协作项目
国产EDA软件熊猫系统研发 国产EDA软件
离散系统集成 离散系统
自监督信号 自监督
自动抽取平行句 抽取平行句
开源可重构阵列架构 开源可重构阵列
中文群体计算系统 群体计算系统
深度概率编程 概率编程
国产基础软件厂商 基础软件厂商
自动模型搜索系统 自动模型搜索
非线性过滤生成器应用 非线性过滤生成器
机器人视觉领域 机器人视觉
高速缓存资源 缓存资源
软件定义网络应用程序 软件定义网络应用
辅助信源融合 辅助信源
媒体加速部件 加速部件
构建政府内部管理 构建政府
线或无线 线或
互联网服务提供商辅助网络性能信息获取 互联网服务提供商
信息交流策略 交流策略
碱基配对原理 碱基配对
轨道波函数 波函数
软件在线演化支撑环境 在线演化支撑环境
数字信号型神经形态计算芯片 神经形态计算芯片
多语种语音识别 多语种
低枝果实 低枝
高效运行库 运行库
无线传感器网络应用系统 无线传感器网络应用
数字对象标识符 数字对象标识
渲染图像 渲染图
挖掘灾民 灾民
域间软件定义网络互联机制研究进展 域间软件定义网络
交通流线圈 流线圈
动态负载平衡调度机制 动态负载平衡调度
新冠疫情暴发 疫情暴发
上下文感知多媒体推荐模型 多媒体推荐模型
页数限制 页数
空间地理信息数据库 地理信息数据库
操作序列 操作序
插值器是 插值器
文件服务集群粒度 服务集群
结构有序参数 有序参数
筹建雷达教研室 雷达教研室
车辆安装全球定位系统装置 安装全球定位系统
识别用户肢体动作 用户肢体动作
直系黑猩猩 黑猩猩
张量填充模型 张量填充
AI算力集成通用算力 通用算力
多通道信息 通道信息
本地实体操作函数 实体操作函数
条件随机场计算观察矢量 观察矢量
海量数据计算研究 海量数据计算
安卓设备数据存储安全研究进展安卓设备数据存储安全研究进展 数据存储安全
像太阳能 太阳能
激活函数计算单元 激活函数
SPARQL查询语言 SPARQL查询
需求元模型框架 元模型框架
公交车路线规划 公交车路线
双天线架构 双天线
利用生物文献挖掘 生物文献挖掘
开放式关联检索系统框架 关联检索
在线轨迹搜索组件 轨迹搜索
隐性语义索引 语义索引
部门操盘 操盘
系统演示专题 系统演示
商务智能服务器 智能服务器
信号编码码率 编码码率
端到端高性能通信 高性能通信
Petri网表达 网表达
模糊神经网络优化 模糊神经网络
完善植物生长机理模型体系 生长机理
人工神经网络训练算法 神经网络训练
在线社交网络隐私保护 社交网络隐私保护
科学X光框架 科学X光
活体指纹样本 活体
高效利用AI技术处理网络大数据 处理网络大数据
理事会任期结束 理事会任期
分布式端到端型机制 型机制
资源融合管理 资源融合
网络化应用服务形态 服务形态
角色动作生成 角色动作
密集型数据整合服务 密集型数据整合
计算检测线 检测线
汽车自动驾驶软件 自动驾驶软件
网络化应用服务形态 网络化应用
网络可视化工具 网络可视化
治理学术环境 学术环境
人工神经网络计算机 人工神经网络计算
架构蓝图 蓝图
属性隐私保护 属性隐私
智能机器学习算法 智能机器
节流盒子 节流
掌纹空间投影 掌纹空间
通讯专栏主编 通讯专栏
式资源池管理 式资源池
算法标准化全会 算法标准化
详细分析系统复杂度 系统复杂度
汉字内码编码 内码
无源感知网络基础理论 无源感知网络
构建深度学习推理引擎 深度学习推理
对象排序算法 对象排序
现代操作系统基本功能 现代操作系统
中国科学院计算技术研究所博士研究生 中国科学院计算技术研究所博士
统一编写并行程序 编写并行程序
推荐信任关系 推荐信任
纳米工艺设计 纳米工艺
超大规模计算机 超大规模计算
总共收录期刊 收录期刊
量子门操作 量子门
大数据知识工程领域 知识工程领域
移动应用安全研究 移动应用安全
无监督数据 监督数据
临时数据层 临时数据
增强软件系统运行 增强软件
模型运行效率 模型运行
细粒度水冷控制 水冷
云端多台机器分布式结构 多台机器
社区媒体深度语义关联挖掘 语义关联挖掘
计算产业进入新时代 计算产业进入
网上信息挖掘学术研讨会 网上信息挖掘
数字资源有效 资源有效
破解宇宙黑暗宿命 黑暗宿命
混合特征子集 特征子集
量子机器学习算法相较 量子机器学习算法
人脸美学生物特征计算可定义 人脸美学生物特征计算
天基卫星信息导航系统 卫星信息
大学程序设计新思维 大学程序设计
多传感器融合方法验证 多传感器融合方法
分层传感器网络系统 分层传感器网络
线程本地记录 线程本地
各种类型传感器 类型传感器
计算机科学与技术学科建设物联网工程专业 计算机科学与技术学科
数据挖掘应用机器学习 数据挖掘应用
网页界面比较 网页界面
武汉大学软件工程国家重点实验室 武汉大学
水印检测器鉴别认证信号 认证信号
动态测试工具 动态测试
汽车行驶轨迹 汽车行驶
心理治疗师 治疗师
图形识别器 图形识别
可诊断性光谱特征信息 诊断性光谱特征
设计与优化存储系统 优化存储系统
量子机器学习算法 量子机器学习
智慧生活服务 智慧生活
内存行式结构 内存行式
无监督生成对抗学习 生成对抗学习
博士研究生潜心钻研 潜心钻研
光盘型生物信息操作环境 光盘型
计算机应用能力提升 计算机应用能力
空间定位机理 定位机理
正交模格 模格
可穿戴通信终端 通信终端
参数固定模型 固定模型
空间导航路径动态规划 导航路径动态规划
网络节点密钥信息泄露 密钥信息
存储虚拟机实例 虚拟机实例
通讯专栏主编 专栏主编
行为执行层 执行层
行式树状结构数据处理系统 树状结构数据处理系统
智能处理器基准测试集 基准测试集
单边频谱拍卖系统 单边频谱拍卖
工业用电价格 电价
城市交通领域本体库 本体库
大规模语义数据处理 大规模语义数据
生物医学领域自然语言理解 生物医学领域
汽车电子闪光器 闪光器
奇雷尚指出 奇雷尚
算法原语编程方法 算法原语
跨媒体信息检索系统 跨媒体信息检索
质量特化度量数据 特化
清华大学计算机系统方向 计算机系统方向
加密密钥状态机负责 加密密钥状态机
验证编译器 验证编译
量子程序设计员 程序设计员
民企研究院 民企
盒子介于用户文件系统 用户文件
高性能计算软件基础结构领域 高性能计算软件
人机物融合应用服务组合 人机物融合应用
线程调度信息 线程调度
操作系统抽象模型 操作系统抽象
绿盟科技应用系统安全 应用系统安全
应用计算机科学理论与技术 科学理论与技术
免费开放指令集体系结构 开放指令集
神经计算机 神经计算
硬件性能提升 硬件性能
会员推荐会员 推荐会员
几何微分属性 微分属性
多播数据包 多播数据
设备互联适配层 设备互联
北斗导航卫星 导航卫星
杜子德文集 德文
湾区网试图联合中国科技网 中国科技网
终端接入网络 终端接入
手机信令分析 手机信令
离散情感识别 离散情感
阻碍创新研究 阻碍创新
无线宽带网络安全技术比较 无线宽带
未来网络试验设施 试验设施
应用语义词袋 词袋
构建安全可信网络 构建安全可信
学习两件事 两件事
片上系统芯片测试架构 测试架构
疫情推演系统 疫情推演
美国普查局 普查局
通行审稿系统 审稿系统
校内网 校内
可信平台模块芯片结构 可信平台模块芯片
高性能处理器 高性能处理
职业工程师资格认证制度有机 资格认证制度
车辆安装全球定位系统装置 车辆安装
数据感知机制保障制造单元充分感知 充分感知
犯罪侦查 侦查
研究型体系推改 推改
体系结构自适应 结构自适应
效率影响模型 效率影响模
中国信息技术产业 中国信息技术
防护设备规则 防护设备
控制平面相分离 控制平面
量子交互式证明系统 交互式证明系统
构建神经机器翻译系统 神经机器翻译系统
无线宽频网 宽频网
生命形式模型 生命形式
群智感知模型 群智感知
局部上下文情景信息 上下文情景信息
优化本体诊断 本体诊断
中国气象应用网格 气象应用网格
嗅觉感受器 感受器
空谱遥感图像融合 遥感图像融合
环境实体交互 环境实体
多维时空查询空间谓词 空间谓词
黑产网络语义体系 黑产网络语义
产业生态圈 生态圈
监管沙盒机制应用 监管沙盒
深层互联网搜索 深层互联网
服务中国会员 中国会员
大规模并行查询语言 并行查询
三维模型特征提取 模型特征提取
社会网络环境感知 网络环境感知
中医药知识服务 中医药知识
全息术立体显示 全息术
未来网络计算技术 网络计算技术
全系统负载均衡 系统负载均衡
图形芯片改称 图形芯片
软件测试性分析 测试性分析
用户编程接口 用户编程
恩师夏培肃 恩师
文澜模型假设 文澜模型
数据中心网络拓扑设计 网络拓扑设计
服务资产管理 服务资产
互联网网络服务 互联网网络
机器人智能处理器平台 机器人智能处理器
编程网络架构 编程网络
开源平台核心模块 核心模块
无线射频识别阅读器 射频识别阅读器
人工智能奇点 奇点
机器人销量 销量
识别图像场景 识别图像
混合主存结构 主存结构
系统资源能耗 资源能耗
阿贡实验室计算机 阿贡实验室
个性化资源推荐模型 个性化资源推荐
多层次服务价值模型 多层次服务
动作捕捉动作捕捉 捕捉动作
股份有限公司董事长 公司董事长
影响程序委员会 影响程序
汉语语言学知识描述体系 知识描述体系
青海大学计算机系主任 青海大学
相机图像信号处理 图像信号处理
程序员编程行为 编程行为
不确定性数据流 确定性数据流
分析社会网络成员数据 社会网络成员
老年人看电视 看电视
云数据访问控制系统 云数据访问控制
程序计算精度 程序计算
条件密码操作 密码操作
美国网络攻击能力 网络攻击能力
美国卫生部 美国卫生
文物知识图谱数据交换接口平台 数据交换接口平台
运行高性能计算服务 高性能计算服务
系统虚拟化实现方式 虚拟化实现方式
信息结构化表达 结构化表达
多模融合引擎 融合引擎
血压监护仪 血压
虚拟化仿真资源 虚拟化仿真
生物文献资源 文献资源
垃圾信息制造者操纵万维网页面 垃圾信息制造
人工智能之争人工智能之争 智能之争
监测收集器 收集器
视觉识别评测数据 视觉识别评测
存储融合体系结构 融合体系结构
系统管理模块负责 系统管理模块
A组特等奖 A组
传感器数据反映 数据反映
三维模型多特征融合提取 特征融合提取
信息功能器件 功能器件
转变成服务业 转变成服务
芯片摘取 摘取
自动分布式框架 自动分布式
一致性算法融合 算法融合
群智制造模块 群智制造
存储器测试设备 存储器测试
感知对象状态 对象状态
向搜索社区化 搜索社区化
民航系统 民航
文本输入评测 输入评测
棋牌类游戏 棋牌类
血液病 血液
生产性服务业注入 生产性服务业
动画素材检索 动画素材
应用实例知识 实例知识
构建软件开发团队 软件开发团队
双光子3D技术 双光子
方向元素能量特征 方向元素能量
端到端选取算法 选取算法
计算机破译数据加密标准 破译数据加密标准
人类信息加工模型 人类信息加工
行为多维采样 多维采样
空间信息网络资源动态调度 资源动态调度
多媒体调度访问模式 多媒体调度
智能实时竞价系统 智能实时竞价
对抗生成网络 生成网络
美国交通部 美国交通
核心数据库引擎领域 核心数据库
资源匮乏语言神经机器翻译模型 神经机器翻译模型
在线自适应决策 在线自适应
有机生命体 有机生命
用户公钥信息 用户公钥
应用程序配置文件 应用程序配置
液晶可调滤光片 液晶可调
非对称密码算法 对称密码算法
应用领域构建 领域构建
端到端量子安全通信 量子安全通信
应用程序调试模型 应用程序调试
可用带宽资源 可用带宽
政学商媒 商媒
能力服务器原型系统 能力服务器原型
实体静态排名 静态排名
检测异常事件 检测异常
阻碍大规模计算 阻碍大规模
强化数据模块组合 模块组合
多表达模型 多表达
互联网信息服务质量 互联网信息服务
指令缓冲器 缓冲器
网络安全防范机制 网络安全防范
知识产权争端解决机制文章 知识产权争端解决机制
扩展布尔查询 布尔查询
识别语音文件 语音文件
艺术人文学科 人文学科
融合虚拟心脏模型 虚拟心脏模型
影响互联网体系结构应用服务 互联网体系结构应用
英特尔微处理器实验室 英特尔微处理器
存储市场发展趋势 市场发展趋势
生成图像 生成图
结构化异构数据集 结构化异构数据
测度学习算法 测度学习
医学专业知识 医学专业
中国计算机学会会员条例 会员条例
视频通话质量 视频通话
现实社交圈 社交圈
移动社交网络大数据挖掘 移动社交网络大数据
软件程控交换 程控交换
分成主视图 主视图
文物保护与传承水平 文物保护与传承
多变量多项式方程组 多项式方程
身体动作操控游戏 操控游戏
图数据查询处理性能 图数据查询
软件能耗估算模型 软件能耗估算
大规模视觉智能探索与实践 大规模视觉智能
微博用户行为特征模型 行为特征模型
网络化研究成果 网络化研究
能力代数特征 代数特征
硬件开销比较 开销比较
分布式系统结构拓扑 分布式系统结构
软件工作站系统 软件工作站
抽象互联网环境 抽象互联网
芬兰科学计算中心 科学计算中心
指令读取指令页面 读取指令
组合式存储系统架构 组合式存储系统
大规模电子病历数据 电子病历数据
A研究所联合团队 联合团队
应用结果评价度量方法 结果评价度量方法
网络延迟测试 网络延迟
城市人口流动采样 人口流动采样
现代网络文件系统 现代网络
空间尺度图里 空间尺度图
虚拟机监控框架 虚拟机监控
色散型光谱成像 色散型
数据密集型计算系统结构 计算系统结构
复杂任务众包模型 复杂任务众包
粗粒度可重构计算结构 可重构计算结构
处理动态物体 处理动态
存储地址空间 存储地址
CNN加速器架构 CNN加速器
科技网站果壳网 果壳网
式软件开发管理系统 软件开发管理
离散空气附面层计算 附面层计算
自主认知框架 自主认知
编译器优化通常 编译器优化
选择逻辑表达概率 表达概率
量子循环程序语义研究 量子循环程序
分子模拟领域 模拟领域
数值优化方法统一 数值优化方法
中国通信标准化 通信标准
寄存器重命名 重命名
手机安装列表 安装列表
一体化控制领域 一体化控制
域值逻辑电路 域值
动态聚合资源 动态聚合
大规模人脸数据库 大规模人脸数据
空谱图像超分辨 空谱图像
网络媒体数据噪声 数据噪声
科学研究动态监测 动态监测
片上并行处理结构 并行处理结构
非线性函数学习模型 非线性函数
速度匀速 匀速
常识推理能力 常识推理
有效组织互联网规模 互联网规模
范式新模式蓝线 范式新模式
效能倍增器 倍增器
复杂产品虚拟样机工程系统总体 虚拟样机工程系统
大规模群体计算 大规模群体
充分体验智能化服务 智能化服务
八类模糊查询 模糊查询
轻量级安全隐私保护 安全隐私保护
分子层集成 分子层
网络技术领域专利申请 网络技术领域
汉语语言信息处理技术 汉语语言信息处理
爬取网页 爬取
大规模流数据集成系统 数据集成系统
可信保障机制显式 可信保障机制
进程等价关系 程等
社会化网络环境 社会化网络
委员会民主进程 民主进程
交互式高效动画智能制作 高效动画智能制作
互联网安全大数据研究 安全大数据
加速器协同搜索 协同搜索
预测与控制架构测量 预测与控制架构
数据库知识发现 数据库知识
样本分布空间 分布空间
计算机领域发展趋势分析 领域发展趋势
物理优先领域 优先领域
集合关系水印 集合关系
小波能量特征 小波能量
数字权利描述语言 权利描述语言
远离拟合回归 拟合回归
人机物融合场景应用 人机物融合场景
需求端平台 需求端
物理规则定义 规则定义
中国科学院自动化研究所博士生导师 博士生导师
寒武纪神经网络专用处理器 神经网络专用处理器
机器推理能力 机器推理
数据驱动方法计算机图形学领域 计算机图形学领域
标准测试数据 标准测试
云虚拟化系统安全监控 虚拟化系统安全
信息产业新 产业新
微内核结构或准微内核结构 微内核结构
资源调度能力 调度能力
间谍软件植入用户 间谍软件
模仿生物神经网络 模仿生物
数字集成电路制造工艺 数字集成电路
软硬件基础设施 硬件基础设施
定义量子谓词转换器 定义量子谓词
图结构数据搜索方法 图结构数据搜索
计算科学原理 科学原理
多程序多数据 程序多数据
用户嵌入向量解码 嵌入向量解码
推理平台开发 推理平台
无线传感器网络操作系统研究进展 传感器网络操作系统
结构熵度量 熵度量
科研信息化基础设施建设 科研信息化基础设施
离散几何信息处理 离散几何
大规模网页并行分析 并行分析
宇宙线数据预处理 宇宙线
新涌现出 新涌现
社区媒体信息传播机制 媒体信息传播
中国国专学行 中国国专
分布式大规模学习系统 大规模学习
构建模拟平行驾驶 平行驾驶
直接影响虚拟机监视器 影响虚拟机
描述Android手机 Android手机
网络拓扑结构图是无线传感器网络 拓扑结构图
椭圆曲线离散对数 离散对数
量子阱场效应管 量子阱
异构模型集成建模方法 异构模型集成
情感事件发现 事件发现
应用体验优先 应用体验
高性能分布式深度学习通信框架 通信框架
互联网经济研究领域 互联网经济
数据特征域 特征域
微软雷德 雷德
资深软件架构师 软件架构师
群体性行为模式学习 群体性行为模式
数字认证技术 数字认证
网络测量子系统 测量子系统
计算机科学学术界 计算机科学学术
桥梁监测系统 桥梁监测
网络脆弱性扫描器 网络脆弱性扫描
业务组件化 业务组件
服务器应用领域 服务器应用
网络受限移动对象不确定性轨迹 不确定性轨迹
邮资封片卡 片卡
新冠肺炎疫情防控 新冠肺炎疫情
量子测量设备 测量设备
仿真系统性能监 仿真系统性能
大规模分布式计算资源 分布式计算资源
群体协同制造 群体协同
重点基础研究发展规划 重点基础研究
多语种语音识别 语种语音识别
特征融合提取 特征融合
描述服务计算 描述服务
动态关系实体关系模型 关系实体
多层感知机渲染结构 多层感知机
应用软件抽象 软件抽象
多维动态海量数据收集 海量数据收集
物联网基础软件技术 物联网基础软件
机器语言目标代码 机器语言
FPGA架构描述 架构描述
万维网用户隐私保护 万维网用户
煤气炉 煤气
防范去匿名化攻击 去匿名化攻击
对话文本生成 对话文本
端云通信 云通信
网络自动查询 自动查询
工业控制系统安全性及应对策略 性及
合成多声道信号 多声道信号
软件可信演化管理 可信演化管理
异质信息网络建模与分析 信息网络建模
机器学习领域多年 机器学习领域
碎片化知识拓扑融合机理 融合机理
软件定义计算流图 计算流图
网络安全秩序 安全秩序
评奖委员会批准认证程序 评奖委员会
安全可信人工智能 可信人工智能
时空数据挖掘通常 时空数据挖掘
矿产资源勘测 勘测
互联网创新创业 互联网创新
部件结构推理 部件结构
肿瘤信息学数据分析平台 肿瘤
医疗信息化进程 医疗信息化
深度神经网络压缩自动化 神经网络压缩自动化
高效能计算机虚拟机模型 虚拟机模型
量子网络研讨会 网络研讨会
智能信息抽取框架 智能信息抽取
挖掘互联网智能 挖掘互联网
身份认证技术身份认证 身份认证技术
文献数据库 文献数据
故障发生概率 发生概率
软件开发群智知识 群智知识
工程仿真数据 工程仿真
数据生命周期信息学流程 数据生命周期
半自动化业务流程生成环境 半自动化业务流程
修改网络层设备 网络层设备
动态异构多核系统 动态异构多核
网络信息空间大数据 网络信息空间
服务组件动态组装 服务组件
复杂产品虚拟样机工程标准体系 虚拟样机工程标准体系
垃圾议论 议论
亚微米级工艺 微米
虚拟机磁盘镜像管理模多型 模多型
软件定义计算流图 软件定义计算流
开盘价收盘价 收盘价
模拟版图自动化流程 自动化流程
局部可解释模型通常通过设计 局部可解释模型
资源虚拟化 资源虚拟
代数语义框架 语义框架
谷歌知识图谱搜索 谷歌知识图谱
心系计算机情系计算机 情系
指纹采集器 指纹采集
系统软件纵向整合 纵向整合
文件传阅 传阅
绘制流程框架 绘制流程
推理规则物化 物化
分析开源软件系统缺陷报告管理 开源软件系统缺陷报告管理
视觉增强大鼠机器人 视觉增强
知识图谱应用技术 知识图谱应用
人工智能学习设计意图 人工智能学习
存储网络工业协会 存储网络
保护用户位置隐私 位置隐私
超小且全功能处理器 全功能处理器
项目结构树 结构树
心系计算机情系计算机 心系
中国信息产业 信息产业
创新数据中心 创新数据
人文社会科学领域 社会科学领域
多物品拍卖机制 物品拍卖
区块链监管技术 区块链监管
高性能微处理器 性能微处理器
国产操作系统群体 国产操作系统
边缘终端体系结构 终端体系结构
多存储资源处理器 多存储资源处理
计算成像设备研发 计算成像设备
离子阱量子计算硬件 量子计算硬件
复杂场景高精度盲文图像识别 盲文图像识别
统一内容标签数据包 标签数据
型计算机操作系统 计算机操作系统
理解人脑智能 人脑智能
中国计算机学会理事会条例 理事会条例
计算行为构造成本函数 成本函数
基于文本搜索技术 文本搜索技术
音色库采样 音色库
互联网多媒体服务 互联网多
自适应感知域 自适应感知
连续变量量子计算描述 连续变量量子计算
制造业信息化工程 制造业信息化
多组播树结构 组播树结构
尾延迟性能波动 延迟性能
文物知识图谱可视化 知识图谱可视化
企业安全应急响应体系 安全应急响应体系
深层神经网络算法 深层神经网络
结构化三维表示 三维表示
量子硬件平台 量子硬件
目标冲突分析 冲突分析
计算机系统分析输入 计算机系统分析
地址输入韵河系统 韵河系统
嵌入式应用软件测试支撑工具 嵌入式应用软件测试
网络链路预测 链路预测
多语言多模态智能客服系统 智能客服系统
创新软件作品 软件作品
结构化异构数据集 异构数据集
基因表达式编程基本概念 基因表达式编程
量产定速 定速
动态感知技术 动态感知
句法语义知识 法语
环境异构性屏蔽 环境异构
存储层次划分 层次划分
安全漏洞库 漏洞库
大规模图谱管理 大规模图谱
工程应用算法设计 工程应用算法
数据抽样方法 数据抽样
北京大学计算机研究所 计算机研究所
多进程程序 进程程序
大规模图像数据集构建 图像数据集
深度神经网络推理引擎 深度神经网络推理
物理驱动模块传回 物理驱动模块
多智能体交互模型 智能体交互
智能视频监控环境 智能视频监控
服务系统开发方法 服务系统开发
引导深度特征表达学习 特征表达学习
高吞吐率低延迟I 高吞吐率
影响互联网体系结构应用服务 影响互联网
可信软件技术体系 可信软件技术
可视化集成开发环境 集成开发环境
量化认知表征 认知表征
访问模式图数据访问 图数据访问
美国加州大学河滨 加州大学河滨
数据线团 数据线
软件生产线经济分析模型 经济分析模型
元数据服务器生成 元数据服务器
线性扩散网络 线性扩散
图灵奖获得者为惠特菲尔德 惠特菲尔德
图像传感器密度 图像传感器
图形设计软件包 软件包
互联网路由结构 互联网路由
天地网 地网
新偶像 偶像
计算互连网络负责 计算互连网络
热点信息实时挖掘 实时挖掘
中国国家网格运行 网格运行
裸视三维显示技术 裸视三维显示
语义万维网数据发布平台 数据发布平台
非集中式访问控制 集中式访问控制
互联网搜索日志数据挖掘 日志数据挖掘
移动云计算领域 云计算领域
智能知识图谱认知技术 知识图谱认知技术
线条表示语义方向 语义方向
场景引擎计算用户 场景引擎计算
颠覆性计算机体系结构创新 体系结构创新
网络拓扑状态信息发生变化 网络拓扑状态信息
媒体特征辨识能力 辨识能力
培育数据要素市场 数据要素市场
生物学数据库更新系统 数据库更新
高级漏洞攻击 高级漏洞
理事会选举条例 选举条例
算子库 子库
协议计算模型 协议计算
Pi演算表达 演算表达
实验量子密钥分配实验系统 量子密钥分配实验
三维几何深度生成模型 深度生成模型
时钟传输线 传输线
应用层网络性能预测 网络性能预测
因校制宜 制宜
学习知识图谱实体 知识图谱实体
容器化云环境异常检测 环境异常检测
不确定性自动机 确定性自动机
会员满意度调查 会员满意度
摩尔定律表明计算机硅芯片 表明计算机
分析型查询 分析型
新型冠状病毒传播路径分析 新型冠状病毒
定时器信息 定时器
模型实例库 实例库
处理抽象数据结构 抽象数据结构
音视频传感器 视频传感器
弱耦合关系 弱耦合
修改程序代码 修改程序
系统线程并行执行 线程并行执行
显式表达并行程序 显式表达
个人大数据资产化管理 个人大数据
华东师大科教仪器厂试制 华东师大
媒体数据采样 数据采样
链路计算网络 链路计算
区块链信息系统应用 区块链信息系统
软总线集成平台 软总线
城市建筑立面视频序列 建筑立面
网络黑灰产业链 灰产业链
分布对象中间件 对象中间件
音频信号处理 音频信号
效运行为准则 行为准则
语义流识别 语义流
构建图像视频多媒体识别 多媒体识别
挖掘应用商店数据 应用商店数据
贡献奖卓越服务奖 卓越服务奖
AI助力新冠疫情防控 新冠疫情防控
多源数据配准融合建筑三维建模 多源数据配准融合
量子计算数论 计算数论
安全运维管理 安全运维
三维模型理解工作流 模型理解
三维显示环境 显示环境
空间平台约束 空间平台
细粒度并行算法 细粒度并行
测量与控制系统 测量与控制
通信频率比较 通信频率
软件定义存储方案 软件定义存储
众筹系统 众筹
数据库存储数据 数据库存储
兼职教师阵容 职教
企业资源集成 源集成
大数据实例 数据实例
信息资源整合与利用 资源整合与利用
知识分类优化搜索 优化搜索
