识别领域 语音识别领域
植物组织生长模型 模型
方向 序列相关性
密集型动态运行数据 密集型
万维网 万维网形式
案例库 海量案例库
静态 静态检索
群智协同开发行为 群智协同
云 从云到端
存储能力异构 能力异构
准确地统计网络流量矩阵 流量
抽象 抽象心智能力
国家 国家级学术社团
软件生产线 规划软件生产线
图兰 图兰阴影
演化 演化影响分析
机器人 机器人伦理
病理数据 临床病理数据
软件资源库 软件资源库管理
模型 生成模型未知
速度 速度差异
虚拟测试场景 虚拟测试场景通常
概率资源空间模型 概率资源空间
计算机系统结构 现代计算机系统结构
方向 轻量化
有限公司信息通信分公南省 信息通信
批处理数据 数据
数据驱动 数据驱动经济
计算机学科基础研究 计算机学科
称号 频谱提供者
模型 序列模型序列模型
机器 机器交互
统一 统一软件控制
方向 引导性
学科 数学哲学
局部 局部分布
计算机科学领域 日本计算机科学领域
蛋白质 蛋白质作用
局部 局部改进
虚拟机计算系统 计算系统
图形 图形化建模
动态形成路由路径 路由路径
诊疗 医学诊疗
德国 德国开展研究
网关 网关应答
失效恢复 失效恢复速度
识别算法 掌纹识别算法
生成 预测生成
准确 准确理解
改善 改善学术
数量 检查点数量
分布式索引 视觉搜索分布式索引架构
算法 掌纹预处理算法
情境 大数据情境
应用系统 场合应用系统
对抗生成网络 对抗生成网络模型实现迁移学习
算法 算法框架
人类社会 人类社会行为
向量化表示 词汇向量化表示
网络病毒 网络病毒模型
开放竞争 国际开放竞争
数据 用户数据安全性保护
记忆 记忆信道
华中科技大学 华中科技大学谢
数据 智能数据处理
学部分布 学部分布情况
表 表征语音情感信息
数据 时空轨迹数据
时间 专利布局时间
程序设计 程序设计基础
大数据流式计算 大数据流式计算系统
视网膜动脉硬化特征 视网膜动脉硬化
去中心化 去中心化决策
软件 软件峰会
操作系统 移动操作系统
临界点 临界点加速
索引库 生成特征索引库
情感交互模式 情感交互模式分析
行为 行为定义可信
虚拟化安全 虚拟化安全技术研究
方向 描述相似性
移位寄存器初态未知 初态未知
桌面交互 桌面交互系统
工程 工程领域
手部动作运动模型 运动模型
数据 数据对比分析
会议 视频会议系统
网络大数据 移动社交网络大数据
开发者量变 量变
自动机 自动机模型
会议 万维网大会
生物 生物特征识别实验室
互联网 工业互联网新基建
数据相匹配 数据
交互进行 社会交互进行
对象中间件 分布对象中间件
厂商 云厂商
社会化 社会化信息
脉象 脉象客观化
交互式 交互式人脸美化算法
运作 运作原理
数据库 通路数据库
小波能量 小波能量特征
程序员编程行为 编程行为
模型 三维模型解耦
服务提供 内容共享服务提供可扩展
模型 特征模型抽象
中国社团 中国社团管理
基因数据平台 基因
资源 场景图像资源
数据 路由数据
交通规划部门 交通规划
引擎 查询执行引擎
图形芯片改称 图形芯片
发展趋势 总体性能发展趋势
类脑计算过程模拟 类脑计算
数据中心规划 数据
浮点操作 应用程序浮点操作
线网 无线网
动作 动作选取
金融 互联网金融监管规则
场景 虚拟场景构建
控制与决策 优化控制与决策
电压发生变化 电压
美国国防 美国国防分析研究所计算科学中心
算法 图结构近似问题算法
模块接收数据 数据
管理系统 开放源网络管理系统
云端多引擎检测 多引擎检测
核心技术 虚拟现实核心技术
操作系统厂商 操作系统厂商通常
表 表层互联网
医学实验数据 数据
协调 协调信息
算机 计算机应用能力
图谱关系 知识图谱关系预测
确定性量子超密编码 量子超密编码
电路 加密电路
邮政 邮政服务
语义 隐式语义向量
动态调度 分布式动态调度
表 表示网关信息
估计值 份额估计值
资源 智能资源模型
安全数据运算处理 数据
机器阅读理解 机器阅读理解模型
浙江大学 浙江大学郑
文件 文件编号
计算领域 并行计算领域
平台 网络实验平台构建
处理器 深度学习协处理器
互联 人脑互联
低层次 城市低层次
规程 新规程
资源 资源允许
规则 规则粒度
语音增强 非平稳噪声语音增强
基础 涌现性基础
网络节点验证处理 处理
数据分析 运营数据分析
研究成果 研究成果保密
大数据应用 处理大数据应用
算机 计算机辅助颅面复原
计算应用 数据密集型计算应用
句法 句法分析
联邦 联邦数字网关
数据分析 社交媒体数据分析预测
能力 分析系统能力
处理能力 后端处理能力
加速芯片 网络一体化加速芯片
教育 计算机辅助教学
北京大学信息科学技术学院计算机系 北京大学信息
模型 模态模型
现代 模式参照现代
植被 植被图数据
多媒体 多媒体信号
融合技术创新 技术创新
改进 改进系统
产量 农作物产量
对等网络传输流媒体数据 对等网
服务器应用领域 服务器应用
时空 时空多尺度可视化技术
标准 标准相继
本地 本地搭建开发环境
安卓系统取证 安卓
抽取 线索抽取
称号 信息设计者
模块 专用模块
战略 科教战略
数字内容作品 作品
硬件神经网络加速器 加速器
方向 碎片化
航空 民用航空
数据服务 网格数据服务
线程调度 线程
软件度量 软件度量护
相互连接 星型结构模式相互连接
数据安全保护 数据安全保护限制
操作 历史操作队列
量子存储 量子存储性能
查询 查询准确率
数据挖掘 数据挖掘技术
数据隐私保护 用户动态数据隐私保护
政产学研 政产学研用
音视频 数字音视频编码标准
高性能计算 高性能计算咨询专家委员会
表示系统 应用时序逻辑公式表示系统
市场 市场竞争能力
线下服务实例 线下服务
网关 网关统一管理
中间件 中间件框架
网络传感系统 传感
IP地址 IP地址认证
算法 算法能力
大幅度 功耗大幅度
产业 产业发展迅猛
领域 领域相关信息
感知计算模型 上下文感知计算模型
测量量子比特电路 量子比特电路
构建 告警构建知识
软件 推行软件
数据 构建运动数据
方向 产业化
邮资封片卡 片卡
语言知识云 知识云
万维网服务描述 万维网服务描述语言
图模型刻画 图模型
实体 社会实体网络
数论 计算数论
方向 数据完备性
教育 教育预防
方向 结构一致性
数值型特性 数值型
光线 光线跟踪加速技术
监控 监控质量
量子信号 量子信号发生器
记录器 记录器堆栈集成
理论和方法 验证理论和方法
认证 输送认证
线性 双线性分析
高光谱影像去噪 影像
思维运行 思维
数据索引 时空数据索引
机器翻译系统 机器翻译系统应用知识
分子 分子数据库
处理器 体系结构微处理器
计算机模型数据交换 算机
自动扫描 机器人自动扫描
应用估值 移动互联网应用估值
表示学习 表示学习算法
国际性 国际性趋势
数据库 语义数据库
甄别 甄别作用
开销 计算开销
多线程软件 线程
安全领域 移动安全领域研究人员
草图 基于草图的图像检索
概率文档 概率文档示例
方向 革新性
模型 网格模型压缩传输方法
灾害 自然灾害预报
计算模式 分布计算模式
图像 图像检索领域
大规模流程工厂 流程
识别 连接词识别
黑产关键词语义的基础 语义
控制器 开源控制器
演化规律分析 社会事件演化规律分析
语义内容集成 语义
基因 华大基因联合国防科
世界视图 视图
过滤 输入过滤
几何语义约束 语义
客户端 客户端传递数据
符号串 形式逻辑处理符号串
编写可视化程序 编写
线性反馈移位寄存器 非线性反馈移位寄存器
网络信息传输 卫星网络信息传输
联合研究 联合研究合作网络
知识图谱 知识图谱关系预测
力量 政府力量
趋势 一体化趋势
环境实体 环境实体交互
编译器 编译器可信
桌面系统 桌面系统编程员
研究成果 研究成果保密
分子生物学实验数据 生物学
军事区块链 区块链
隐私数据保护 数据
效率影响模型 学习效率影响模型
资料 维基百科资料
连网 片上互连网络
能力 能力小组
基础设施组织结构运行 结构运行
通信 网络通信开销
密文 密文检索
分子层集成 分子层
传感器测量 物理攻击信号影响传感器测量结果
体表气味 体表气味信息
称号 掌权者
数据 数据噪声
互联网 互联网操作系统
学习器 学习器效率
测试 编译器测试
政府 政府结构
信号 输出信号
知识库 语言学知识库
计算机系统 量子计算机系统
数据服务 网格数据服务
汇集 汇集机制
场景深度 场景深度信息采集
动态 对象动态调度
分布式数据管理理论与技术 分布式数据管理
服务质量 自治化服务质量框架设计实例
智慧医疗 卫宁健康智慧医疗大数据平台
算法 AI算法
方向 理想化
指南 服务系统实施指南
自动化 自动化要素
军事 军事人工智能
掌纹 掌纹识别领域
列表视图 视图
时延参数 时延参数分析
算法 回溯算法
方向 国产化
组织 学院组织
多智能体 多智能体交互模型
视频直播 视频直播服务系统
计算系统安全 云计算系统安全防护
大数据实验室 大数据
合胞体 线性合胞体模型
交易审查机制 审查机制
纵观中国软件产业 中国软件
低成本硬件 低成本硬件设备
数据对象种类 数据
数据 三维可视化数据
性能 哈希性能
基础设施 基础设施构建服务
数据 数据总量
分布式查询处理 分布式查询处理策略
指纹采集 指纹采集器
表 通用表示
音频文件 判断音频文件
服务商 服务商定期
算机 晶体管数字计算机
海洋 海洋军事
拟机管理器 虚拟机管理器虚拟机管理器
监控 监控摄像头
学术研究 学术研究机构
工程 软件工程新思维
课程 编译相关课程
美国人工智能联合会 美国人工智能
挖掘 挖掘数据
委员会 欧洲委员会
大数据处理 大数据处理领域
编程背景 可信编程背景
可信计算技术应用 可信计算技术
积极参与 积极参与国际合作
多服务器 多服务器平台
安全云 安全云计算平台
专利 专利保护战略
计算能力 调整计算能力
感知能力 跟踪感知能力
思维 集成思维
经济 现代经济社会
资源抽象 操作系统资源抽象
算法 互联网算法
知识库 词典知识库
联网 联网移动终端
规则语义 语义
有机 知识有机
关系 航程关系
云端大数据 大数据
混合部署 应用混合部署
网络基础 利用网络基础设备
并行化 并行化平台
恢复 恢复攻击
低延迟网络传输技术 低延迟网络传输
中文 中文科技期刊
高性能 高性能智能处理
电子交易 电子交易系统
程序设计 时序逻辑程序设计
服务质量 存储服务质量
进程 进程特征
模型 模型显著特征
性化 活性化合物
应用 潮流应用
资源调度 资源调度算法
贸易 首轮贸易
加速分布式训练 分布式
中国 中国知识网格研究组
盲文分词模型 模型
共频带增强三维定位 增强
技术创新 融合技术创新
网构软件可信性研究项目 研究项目
画报 科学画报
数据管理 移动对象数据管理
汽车 汽车专用
代码 海量代码溯源
竞争 竞争计算
数据 异构模态数据
充分 会员充分
建模 掩码视觉特征建模
产业 产业应用
重现 历史重现
模仿 建模仿真软件
商务 互联网应用商务智能
充分表达 充分表达感知数据
调度技术 实时传输调度技术
教育者 称号
建筑研究者 称号
缓存 数据缓存
模型 构建多面体模型
特征 生成特征全集
图像 图像搜索算法
学科 学术学科进入中国
抽取 海量知识图谱数据自动化抽取
认知 认知先验
监测 监测预警
概率 概率信任网络
组织建模仿真服务资源 资源
水平 卓越水平
服务 服务开发人员
迁移 模式迁移
加密 空间加密
重视科学技术 科学技术
有序数据 有序数据可视分析
并行计算平台 大规模并行计算平台
表 可信表示
异常 调试异常
工作流 工作流管理平台
标准无线通信器件 无线通信器件
敏捷化 敏捷化开发方法
数据 集成数据的质量
增强 增强在线
预测 预测对象
网络思维 利用网络思维
存储层 存储层次设计
博客 博客系统
普适计算 普适计算社会
计算机体系结构 负责计算机体系结构
输出端口 输出端
数学领域 比特率
学习 灌输式学习
分析与设计 面向对象分析与设计
经营者充分保证数据 数据
校正 校正信息
机器人 机器人检测算法
神经网络压缩 神经网络压缩自动化
科研 程序员科研
基础研究 潜心基础研究
抽象 社会主体抽象
双折射材料 双折射材料透镜
信息拥有者 称号
内存资源 内存资源动态调配
监测预警 网络安全监测预警
视觉 模拟人眼视觉
计算模型 边缘计算模型
树形 树形索引
计算器 算术型计算器
生物 生物实验室
算机 计算机产业现状
数据 数据建模
语言生成 语种语言生成
开放 开放应用模式
精度 统计精度
资源 存储资源缓存
算法 机器人检测算法
带宽 带宽压力
信息处理 日本信息处理
认知计算 认知计算框架
启发式算法 低层次启发式算法
数据集合 分布式数据集合
句子 分析句子语意
比特 比特币投资
管理操作 管理操作系统
网络自动 神经网络自动量化压缩
审查机制 交易审查机制
调研 会员调研
分析社会网络 时空关联分析社会网络
版权 自主版权
安全 业务安全
保护网络 美国保护网络空间安全
通信协议 通信协议平台
推理规则物化 物化
虚拟机 捕捉虚拟机
算法 监督学习训练算法
网站 音乐检索网站
资源 资源效率相辅相成
模式 性能问题模式
故障 型故障
规模 规模扩展
发育树 系统发育树
加速分布式训练 分布式训练
转化 通用软件转化
通常 通常推荐
交汇融合 交汇
标记信息描述 信息描述
国家 计算机软件新技术国家重点实验室
编程语言 计算机编程语言
迁移 迁移学习
移动端智能应用 移动端智能应用场景
控制器 微控制器全面控制
脑智调控 脑智调控技术
历史 交互历史
学科 激发计算机科学
测定 测定用户心理模型
动态 用户需求动态
称号 传承创新创业者
聊天机器人 检索式聊天机器人
万维网 万维网可视化技术改进
技术研究 数字取证技术研究
测试 测试激励
运行 企业运行
半导体量子计算 体量
商业模式 注入商业模式
范式智能系统 智能
协议 边界网关协议网络域
监控 监控云平台
方向 宽带化
直接接触目标系统 目标系统
软件代码 桌面软件代码规模
要素 作战要素渗透战争
自动化 自动化测序
路面 路面湿度
数字孪生城市 城市
思维 思维运行
语义检索引擎 语义
增进 增进相互了解
描述 形式描述
教育 中国的教育系统
原型机 实验室原型机
数据 训练数据对模型
多框架 多框架融合
网格 网格在线可扩展
可搜索加密 可搜索加密技术应用
感知识别静态 识别
系统软件 系统软件轻易
新应用 新应用新需求
域名 域名解析去中心化
表 表达句子
偏见 偏见类型
表示模型 文本表示模型
国家知识基础设施 国家知识基础设施工程
数字营销领域 营销
科学研究动态监测 动态监测
测量船 配套制造远洋测量船
模块 管理模块
多媒体调度访问模式 多媒体调度
量子 量子自动机
物联网 物联网云计算技术
系统开发能力 能力
领域 领域研究者钻研
制造 制造新模式
中国科学院自动化 中国科学院自动化研究所刘云浩
治理 治理能力差距
媒体 传统媒体信息发布
搜索 搜索接口
车辆 车辆检测器
表 表示比特
硬件基础平台 基础平台
模型 处理器能耗估算模型
挖掘 挖掘个性化
方向 互联网安全性
计算技术 计算技术专题
类型 新类型
数据存取 数据
数据 数据格式转换
编码 编码码率
可信运行平台 信运行平台
清华大学计算机系 曾明清华大学计算机系硕士研究生
理论研究 实时信息理论研究
联合设计 联合设计领导小组
模型 生物系统模型
攻击网络 攻击网络数据包
数据管理 数据管理解决方案
群智 群智保障机制
理解数据科学家 称号
算机 计算机研究领域
厂商 存储厂商
有时候 用户有时候
检索性能 关键词检索性能优化
方向 全球化
方向 时序性
教育 教学改革能为
新服务 新观念新思维新服务
速查 编译器速查
服务器 智能服务器
材料 培训材料
世界 影响世界
描述 维度描述
交通领域 道路车辆交通领域
桌面 桌面显示设备
消减 消减美国信息
模型 消除模型
教育 新时代教学目标多元化
情感特征 情感特征分析
服务业增加值 现代服务业增加值
向量 多维向量
密钥 密钥信息
经济 社会经济价值
无线网 安全无线网络
文字 文字表达
线程 多线程数据
密码学 模块化安全密码学协议
分解 分解攻击
群智协同系统 在线开放群智协同系统
系统设计 服务器原型系统设计
域间 高效域间
服务器 虚拟机服务器
教育 培养学生自主学习能力
智能交通领域专利技术分布情况分析 交通领域
编译器 编译器研究团队
教育 在线教学形式
资源 实时业务流信道资源划分
能耗 屏幕能耗
位置 故障位置
方向 序列相关性
文本信息检索 生物领域文本信息检索
立项 批准立项
高级计算 高级计算中心
加速器 神经网络加速器架构
服务创新 互联网服务创新
交互设备 视觉交互设备
部件 部件显现出
量化 扫描工程图矢量化模型
数字 数字报刊出版技术
量子 量子图灵机
论文 论文质量
星型模式网络 星型
面向服务标准 标准
方向 离散性
美国计算机 美国计算机科学家格鲁帕鲁卡
质量 客户质量
语义 对等网络语义搜索
神经网络模拟 脉冲神经网络模拟人脑
各个领域专家学者 称号
数据隐私度越 隐私度越
系统研究 中国研究院分布式系统研究部
查询 概率查询
语义 语义整合
构建调控网络 调控网络
云服务 云服务应用
方向 民主化
透明计算 通盘考虑透明计算中因操作系统
多址 无线多址信道
数据原语 数据
多媒体 多媒体领域
生命 生命科学技术
超启发式算法 模式对超启发式算法
并行编程语言 异构并行编程语言
速度 图像处理速度
设计师 用户界面设计师
互补 空谱互补信息
服务 垂直领域细粒度服务
万维网信息 万维网信息服务
快速查询 对象快速查询
高维 高维结构信息
表演语音 表演
城市降雨模拟 城市
角度 状态角度
运算操作 运算
算机 苏州计算机
定义 权威定义
材料 材料收集
计算节点 配置计算节点
量子密钥分配 量子密钥分配协议
基础指令系统 国产处理器基础指令系统
有限 有限同态加密
在线自适应决策 在线自适应决策技术
用户 用户多
教材 数据结构教材
结果分析 专项调研结果分析
算机 浙江大学计算机学院
形式网络 形式
可编程数据平面 编程
标准 标准进程
关系 相似性二元关系
融合数据处理 数据
子图 电子图书馆
应用程序 感知应用程序
捕捉数据分布 数据
能力 运维管理能力
关系代数图形处理器编译器 编译器
用户对象 普通用户对象
语义恢复 语义
时间 时间和空间
安全计算 可信安全计算平台
指针 指针位置
聚类 模型聚类
运算部件 运算
成果 成果演示
数据流 数据流跟踪
公平性机器学习算法 机器学习算法
视角 对象视角
社会化 社会化计算
方向 服务化方向
编者按 规划编者按
矩阵 矩阵奇异的
物理计算资源 物理计算资源负载均衡
方向 可复制性
异常 业务异常
协议 AODV协议扩展
分析 地理信息分析
区块链产业公共资源 产业
量子 安全通信量子
表 表示动态网络
理论与技术 共性理论与技术
汉字 汉字集合
数据 增量交互式数据网络
美国创新 美国创新环境恶化
规模数据 大规模数据分析领域
引擎 情境感知引擎
位置 位置偏差
时间 表示时间
物理 物理世界相匹配
服务 服务动态调用
虚拟 大规模动态虚拟
价值链 价值链影响
品牌 英文品牌
机构组织 北京大学软件工程中心
并行机 采集器并行机制
物理规则定义 规则定义
蛋白质 蛋白质交互作用
深度学习 深度学习安全
IT技术 中国IT技术
片段 动作片段
跟踪器 超声波跟踪器
计算模型 信息物理融合计算模型
网络 网络业务创新
人脸 检测人脸
分辨率 分辨率捕捉对象
表 多源信息一致性表达
数据 文档数据
高级 高级配置
电视 电视源
物体 感知物体
分层地址结构 地址
应用层 应用层预测网络性能信息
生成算法 触觉交互生成算法
传感器 分布式传感器
机构组织 多学科研究中心
气候变化 全球气候变化
操作系统维护 在线操作系统维护
云仿真 激光雷达点云仿真技术
仿真系统运行环境 环境
高精度影像分析 影像
算法 时间信息抽取算法
高效组织 高效组织技术
证明系统 交互式证明系统
团队集体协作 团队
软件 卸载软件
机制设计 机制设计目标
物联网 物联网技术
草图 交互式草图
关键字竞价 搜索关键字竞价
社会网络 多媒体社会网络
投票 投票选出
信息采集 信息采集与处理
数据 降维数据
信息论 信信息论创始人香农息论领域
网络文章 文章
数据 数据容量
研讨会 研讨会文章
方向调整 调整
收发器信道扫描 信道扫描
时候 有时候
实例 基于实例的机器翻译
历史 历史演绎
描述植物体 描述植物
主观评测实验 主观评测实验表明
类型 机制类型
质量特化度量数据 度量
数据 心脏实验数据
数据库服务 云数据库服务平台
应用运行 应用运行效率
参数服务器 参数服务器架构
开源数据量化分析 开源
解码器 解码器语言模型实现目标句子
网络流 网络流量速率
通信网 未来通信网络
同源密码 同源密码算法
集群 集群计算环境
模型 生命模型
度量 视觉特征多尺度量化角度
方向 工艺稳定性
监听 旁路监听
数据 数据存档系统
认知心理学 认知心理学通常
专用计算机架构 专用计算机
媒体理解 上下文情景化媒体理解
差异 差异思维
虚拟机集群系统安全 虚拟机
垂直化 跨层垂直化
通常 高层特征通常
药物 按时服用药物
实例 应用实例化
安全 协作安全
多线程优化领域 优化领域
模拟企业环境 环境
关系图 用户关系图
认知机理 复杂空间认知机理
安全 强化安全
动作空间维数灾难 灾难
容错 迁移容错
表 表示程序
未知 未知场景
老师 余国先老师
应用领域构建 领域构建
方向 适应性
隐私保护场合计算环境 场合计算
协同软件 学术信息服务协同软件
战争对策虚拟现实环境 对策
媒体 媒体试验室
识别 识别I
计算系统 计算系统任务环境
服务移动 服务移动应用大数据
标题编辑 标题
栅电压 电压
软件缺陷 自动修复软件缺陷
数据 离散化数据中心
实验 实验总共
物联网 物联网规模
运算 运算部件
总数 网民总数
软件服务 软件服务化
公司 公司副总裁
教育 青少年计算机教育
社区发现 层次聚类社区发现
几句话 几句话阐明
线程 普通用户线程
基因组数据 基因组数据分析
盒子介于用户文件系统 用户文件
网络感知 鉴于移动社交网络感知系统
任务量 任务量统计信息均衡分配
关系数据库模式信息 关系数据库模式
模态信息处理 模态信息
体系结构 光纤通道协议体系结构
阻碍大规模计算 阻碍大规模
数据 数据积累
主机 动态主机配置
空间大数据 物理空间大数据
高维定义 结构信息允许高维定义
数据 数据抽象层次
金融 金融模拟交易平台
云网盘系统 云网盘
算法性能 蚁群优化算法性能
武器 国产武器装备
接入点 选择目标接入点
神经网络 神经网络高效
超级计算编程 超级计算
情感数据 语音情感数据
用户 用户融合
测试 测试与评价
时间 评审时间
状态 反馈状态
服务提供 车辆共享服务提供平台
软件流水线 软件流水线形式
机器人自动扫描 机器人自动扫描物体
基础设施 通信基础设施统称
大数据机器学习 大数据
中国计算机学会 中国计算机学会术语
虚拟现实环境原型 环境
软件 辅助学习软件
操作系统 Windows操作系统特征
特性 体绘制特性
经济 计算广告经济
教育 教学标准
数据真实可信 数据
处理系统 神经网络处理系统
物理 理解物理场景
联合会 电子学工程师联合会
同构 同构集成
数据 移动终端隐私数据分级
Web服务合成 服务
部门 公司消费娱乐部门
随机图 随机图理论应用
视频透视式头盔显示器 视频透视
函数 双向反射率分布函数
方向 盲目性
模型 服务标准化模型
序列 序列压缩映射
组播 视频组播
式模型 生成式模型
网络 网络功能规则
网络地址空间隔离 地址空间隔离
搜索 搜索架构
证明 图灵证明
计算系统应用 计算系统
有限集合 有限
控制技术 数字化音视频控制技术
语义动作 语义
能量 采集能量
流程 集成流程工厂
优化数据 优化数据质量
数据 互联数据
路由 路由报文
领域 智力领域
辅助诊疗 智能辅助诊疗
测量 测量读取谐振腔
机理 适应性机理
云服务安全漏洞 安全
页面 维基页面
存储空间 程序存储空间
管理模块 管理模块负责
关键词查询 关键词查询转换成结构化
配套 可信机制配套
机械 机械电子部件智能传感器
数据挖掘 分布式数据挖掘
探测 探测查询
中文期刊 中文期刊引文总体
带宽 带宽可扩展
算机 计算机世界
杜子德文集 德文
基因 基因序列挖掘
信息检索算法代替知识图谱 知识图谱
创造性地 老鼠会创造性地
哥德尔证明 哥德尔
实体 实体匹配
关系 信息协作关系
物联网 物联网监控土遗址生存状态
基础 基础信息管理
检索 检索文件
虚拟化平台 网络虚拟化平台
网络自动 神经网络自动量化压缩
数据库 数据库研究进展
中间件 中间件公司
导航 网络信息导航
方向 软件脆弱性
用户公钥 用户公钥信息
可重构容错并行计算环境 计算环境
普适计算 普适计算特性
监察 学术监察机构
投影 掌纹空间投影
神经网络结构 通用神经网络结构
国籍 国籍分布
数据分析 生物样本数据分析
图数据库 图数据库引擎
算机 电子数字计算机样机
会议 大会主旨
必定会 模块必定会
暴雨积水 城市暴雨积水
模拟电路 大规模模拟电路
公钥密钥体制 公钥
线性 增多线性
系统架构 总体系统架构
学术服务 学术服务奖
应用云 应用云计算技术
情报 情报源
智能城市 智能城市应用
中国高性能计算机产业规模 高性能计算机产业
容错 容错设计
比较多 研究比较多
图灵奖 图灵奖大师
模拟器 模拟器系统
全球化 全球化IT管理
计算机视觉 计算机视觉研究与应用
感知输入 预测感知输入
公式 音频公式
检测 检测垃圾邮件
海量资源描述框架数据 数据
教育 教育部组织
异质网络 异质网络表征学习
模型 模型观察控制器模式
据库 复杂数据据库领域
审查 审查专利申请
密码学 密码学界
算机 计算机化
信道 信道环境
交互式搜索意图理解 交互式搜索意图理解示例
重视开源 重视开源软件
计算机领域 计算机领域影响
团队 安谋团队
防范能力 能力
双向盲审机制 双向盲审
表 认知表示
路由交换设备 路由交换设备运行网络协议
服务 服务支撑体系
中国科学院 中国科学院计算中心
编码 立体电视视频编码
增强 增强军用物流
数据分析 调查数据分析
源鉴别 图像源鉴别
硬盘 硬盘广泛应用
互操作性 互操作性管理
通讯领域 即时通讯领域竞争激烈
媒体流 媒体流攻击
名字 名字转化
资产 货币资产
编码 量子纠错编码
实现技术 网络化实时智能计算实现技术
多台虚拟机 允许多台虚拟机
量化 积分量化
人类社会 渗透到人类社会
核心数据库引擎领域 核心数据库
水平 教师水平
能编程 人机协作智能编程机理
大学 记北京大学计算机科学技术研究所
儒家文化 中国儒家文化
委员会人工智能研究院 人工智能研究院
学习知识 人类学习知识
图像 互联网图像
编辑 联合编辑
编写英文文章 文章
公司创始人 称号
用户数据安全性保护 数据
工程 敏捷软件工程
医疗AI创业型公司 医疗
集群 集群并行处理
通常 模块通常
关系迁移 人际关系迁移
服务 科学服务
编程 可编程管控
临时中间数据 数据
处理模型 自然语言处理模型
语义 语义分布图
三维体数据 数据
软硬件资源 软硬件资源基础
软件工程方法 软件工程方法通常
总数 记录总数
安全行业 网络安全行业
显示 显示搜索
分析处理 分析处理方法
阻塞 阻塞计算
保存 镜像保存虚拟机
方向 算法收敛性
空间有限 存储空间有限
条件 平台条件
密码安全 网络内生密码安全基因
开展研究 科学问题开展研究
联合实验室 联合实验室模式
竞价系统 智能实时竞价系统
云计算 运营在线云计算系统
统计 统计结束
有监督 有监督学习
